*********Suggested Movies********
Movie name-----Year-----Actors
HEAT-----1995----- <DE NIRO, ROBERT>  <PACINO, AL (I)> 
THE GODFATHER TRILOGY: 1901-1980-----1992----- <DE NIRO, ROBERT>  <PACINO, AL (I)> 
RIGHTEOUS KILL-----2008----- <DE NIRO, ROBERT>  <PACINO, AL (I)> 
BACKDRAFT-----1991----- <DE NIRO, ROBERT>  <RUSSELL, KURT (I)> 
AMERICAN MASTERS-----1985----- <DE NIRO, ROBERT>  <EASTWOOD, CLINT> 
KILLING SEASON-----2013----- <DE NIRO, ROBERT> 
RED LIGHTS-----2012----- <DE NIRO, ROBERT> 
THE BAG MAN-----2014----- <DE NIRO, ROBERT> 
THE WEDDING PARTY-----1969----- <DE NIRO, ROBERT> 
CITY BY THE SEA-----2002----- <DE NIRO, ROBERT> 
